normalized_vendor_name,vendor_name,profile_url,profile_slug,slug_match_method,gsc_status,county_rows,counties_served,word_count,sentence_count,paragraph_count,opening_template_cluster_id,opening_template_cluster_size,nearest_neighbor_similarity,uniqueness_score_1_5,vendor_description_truncated
california online ccw,California Online CCW,https://www.getcarryclass.com/instructors/california-online-ccw-5d09ff7a67,california-online-ccw-5d09ff7a67,exact,not_indexed,4,alpine|san-joaquin|tuolumne|yuba,64,3,1,108,1,0.3245,5,"California Online CCW provides comprehensive online CCW training courses that students can complete from anywhere at their own pace. They offer 16-hour initial courses, 8-hour renewal courses, and non"
case defensive training group,Case Defensive Training Group,https://www.getcarryclass.com/instructors/case-defensive-training-group-3213c88871,case-defensive-training-group-3213c88871,exact,not_indexed,3,alpine|calaveras|tuolumne,78,3,1,112,1,0.2527,5,"Case Defensive Training Group provides firearms training and CCW classes taught by Andrea and Chad Case, both Certified Deadly Force Instructors. They specialize in educating students on the judicious"
dynamic ccw academy,Dynamic CCW Academy,https://www.getcarryclass.com/instructors/dynamic-ccw-academy-917741267d,dynamic-ccw-academy-917741267d,exact,not_indexed,3,alpine|calaveras|tuolumne,60,3,1,159,1,0.1992,5,"Dynamic CCW Academy is led by instructors Tim and Mike, who are recognized for their depth of knowledge and professional approach to CCW training. The academy provides comprehensive CCW certification "
northern firearms instruction,Northern Firearms Instruction,https://www.getcarryclass.com/instructors/northern-firearms-instruction-6d66b082d5,northern-firearms-instruction-6d66b082d5,ambiguous_exact,not_indexed,14,alpine|butte|calaveras|el-dorado|glenn|imperial|kings|los-angeles|merced|placer|santa-clara|stanislaus|sutter|tehama,85,3,1,30,2,0.4139,5,"Northern Firearms Instruction is a team of highly experienced NRA Firearms Instructors operating throughout California, claiming to be considered the authority on CCW law and firearm training througho"
sierra ccw firearms training,Sierra CCW Firearms Training,https://www.getcarryclass.com/instructors/sierra-ccw-firearms-training-26943e6be8,sierra-ccw-firearms-training-26943e6be8,exact,indexed,1,alpine,60,4,2,326,1,0.2556,5,"Sierra CCW provides objective, evidence-based instruction for California concealed carry classes in Truckee, California. The company is founded by Robert G. Scott, a Certified CCW Instructor, Range Sa"
accuracy firearm training,Accuracy Firearm Training,https://www.getcarryclass.com/instructors/accuracy-firearm-training-fc4a81fe5c,accuracy-firearm-training-fc4a81fe5c,exact,not_indexed,3,amador|placer|tuolumne,66,3,1,54,1,0.3409,5,"Accuracy Firearm Training provides CCW initial and renewal courses at Sacramento Valley Shooting Center, a private 851-acre outdoor range in Sloughhouse, CA. Led by NRA-certified instructor Razmik Car"
all american safety llc,All American Safety LLC,https://www.getcarryclass.com/instructors/all-american-safety-llc-d3f3cfd6bd,all-american-safety-llc-d3f3cfd6bd,exact,not_indexed,1,amador,72,3,1,61,1,0.3104,5,"All American Safety LLC is led by Rick, a firearms advisor serving the Sacramento region with over a decade of law enforcement experience. As an FBI-Certified Firearms Instructor and Certified CA Depa"
amador ccw instruction,Amador CCW Instruction,https://www.getcarryclass.com/instructors/amador-ccw-instruction-ed98629e07,amador-ccw-instruction-ed98629e07,exact,not_indexed,1,amador,47,3,1,66,1,0.3096,5,"Amador CCW provides firearms training conducted at a private range by appointment. Led by Mike Neff, a DOJ certified instructor and NRA Pistol Instructor, the company serves as an approved instructor "
basic firearms training,Basic Firearms Training,https://www.getcarryclass.com/instructors/basic-firearms-training-5db3fee3df,basic-firearms-training-5db3fee3df,exact,not_indexed,2,amador|placer,67,3,1,84,1,0.2685,5,"Basic Firearms Training is a veteran-owned training provider in Sacramento County offering California CCW courses, BSIS firearms and security officer skills training, and retired law enforcement quali"
cali gunlady,Cali Gunlady,https://www.getcarryclass.com/instructors/cali-gunlady-3e1c16f63a,cali-gunlady-3e1c16f63a,exact,not_indexed,1,amador,78,3,1,203,1,0.2395,5,Gunlady Defensive Firearms Training provides firearms training for law-abiding citizens who want the ability to protect themselves or their loved ones. Each person who receives training is treated as 
defensive accuracy,Defensive Accuracy,https://www.getcarryclass.com/instructors/defensive-accuracy-llc-535d9771e5,defensive-accuracy-llc-535d9771e5,fuzzy,indexed,2,amador|santa-clara,51,3,1,141,1,0.647,3,"Defensive Accuracy is a California firearms instruction company serving the Bay Area and Central Valley that offers CCW initial training, renewals, and modifications. They provide private CCW classes "
delta romeo firearms training,Delta Romeo Firearms Training,https://www.getcarryclass.com/instructors/delta-romeo-firearms-training-1c13be4475,delta-romeo-firearms-training-1c13be4475,exact,not_indexed,1,amador,79,3,1,150,1,0.2736,5,"Delta Romeo Firearms Training LLC is a dedicated firearms training company based in Reno, Nevada, founded by Darren Riddiough who combines executive chef coaching experience with firearms instruction "
