normalized_vendor_name,vendor_name,profile_url,profile_slug,slug_match_method,gsc_status,county_rows,counties_served,word_count,sentence_count,paragraph_count,opening_template_cluster_id,opening_template_cluster_size,nearest_neighbor_similarity,uniqueness_score_1_5,vendor_description_truncated
hard focus training,Hard Focus Training,https://www.getcarryclass.com/instructors/hard-focus-firearms-training-llc-78f8b158d7,hard-focus-firearms-training-llc-78f8b158d7,fuzzy,not_indexed,1,madera,63,3,1,0,4,0.9972,2,"Hard Focus Firearms Training is dedicated to providing the best, most effective techniques in Defensive Shooting to protect yourself and loved ones. They pride themselves on going above and beyond min"
hard focus firearms,Hard Focus Firearms,https://www.getcarryclass.com/instructors/hard-focus-firearms-training-llc-78f8b158d7,hard-focus-firearms-training-llc-78f8b158d7,fuzzy,not_indexed,1,mariposa,61,3,1,0,4,0.9972,2,"Hard Focus Firearms Training is dedicated to providing the best, most effective techniques in Defensive Shooting to protect yourself and loved ones. They pride themselves on going above and beyond min"
friedman handgun training,Friedman Handgun Training,https://www.getcarryclass.com/instructors/friedman-handgun-training,friedman-handgun-training,constructed,unknown,1,santa-clara,62,3,1,192,1,0.9863,2,Friedman Handgun Training provides CCW training by appointment in compliance with new PC26165 SB2 requirements for both initial and renewal applications. They specialize in one-on-one training session
friedman firearms training,Friedman Firearms Training,https://www.getcarryclass.com/instructors/friedman-firearms-training-bd155757da,friedman-firearms-training-bd155757da,exact,not_indexed,1,contra-costa,60,3,1,191,1,0.9863,2,Friedman Firearms Training provides CCW training by appointment in compliance with PC26165 SB2 requirements for both initial and renewal applications. They specialize in one-on-one training sessions r
hard focus firearm training,Hard Focus Firearm Training,https://www.getcarryclass.com/instructors/hard-focus-firearms-training-llc-78f8b158d7,hard-focus-firearms-training-llc-78f8b158d7,fuzzy,not_indexed,1,tulare,58,3,1,0,4,0.9667,2,Hard Focus Firearms Training is dedicated to providing effective defensive shooting techniques to protect yourself and loved ones. They pride themselves on going above and beyond minimum standards by 
executech inc.,Executech Inc.,https://www.getcarryclass.com/instructors/executech-inc,executech-inc,constructed,unknown,1,san-benito,68,3,1,17,2,0.9486,2,Executech Security Solutions is a California-based security corporation headquartered in the San Francisco Bay Area that specializes in investigative and protective solutions. They offer CCW training 
executech security solutions inc.,Executech Security Solutions Inc.,https://www.getcarryclass.com/instructors/executech-security-solutions-inc-b5e8b18853,executech-security-solutions-inc-b5e8b18853,exact,not_indexed,1,santa-cruz,65,3,1,17,2,0.9486,2,Executech Security Solutions is a California-based corporation headquartered in the San Francisco Bay Area that specializes in investigative and protective solutions. The company offers CCW training f
elite ccw and firearms training,Elite CCW and Firearms Training,https://www.getcarryclass.com/instructors/elite-ccw-and-firearms-training-4b9ac297c2,elite-ccw-and-firearms-training-4b9ac297c2,exact,not_indexed,1,los-angeles,65,3,1,163,1,0.9056,2,"EliteCCW is the premiere training provider in Southern California, founded by a former Orange County Sheriff CCW supervisor. They offer authorized training for multiple jurisdictions including Orange "
eliteccw firearms training,EliteCCW Firearms Training,https://www.getcarryclass.com/instructors/firearms-training-e51d601167,firearms-training-e51d601167,fuzzy,not_indexed,1,orange,63,3,1,162,1,0.9056,2,"EliteCCW Firearms Training is the premiere training provider in Southern California, founded by a former Orange County Sheriff CCW Supervisor. They offer comprehensive CCW training for multiple jurisd"
star crossed firearms,Star Crossed Firearms,https://www.getcarryclass.com/instructors/crossed-star-firearms-19d51aa5d6,crossed-star-firearms-19d51aa5d6,fuzzy,not_indexed,1,tehama,71,3,1,2,3,0.8949,2,Crossed Star Firearms is a Northern California firearms instructor offering CCW classes and firearms training for all levels of shooters. They provide approved CCW courses for residents of multiple co
