normalized_vendor_name,profile_url,uniqueness_score,skip_reason
defensive accuracy,https://www.getcarryclass.com/instructors/defensive-accuracy-llc-535d9771e5,3,indexed_in_gsc_valid_export
coco firearm training,https://www.getcarryclass.com/instructors/coco-firearm-training-llc-1a2d4a83e2,2,indexed_in_gsc_valid_export
concealed coalition,https://www.getcarryclass.com/instructors/concealed-coalition-01614f9f3e,3,indexed_in_gsc_valid_export
"defensive accuracy, llc",https://www.getcarryclass.com/instructors/defensive-accuracy-llc-535d9771e5,2,indexed_in_gsc_valid_export
"paragraph 2, llc",https://www.getcarryclass.com/instructors/paragraph-2-cfe35d10b3,2,indexed_in_gsc_valid_export
coco firearm training llc,https://www.getcarryclass.com/instructors/coco-firearm-training-llc-1a2d4a83e2,2,indexed_in_gsc_valid_export
"hammer stryke self-reliance training, inc.",https://www.getcarryclass.com/instructors/hammer-stryke-self-reliance-training-inc-a768c788f7,2,indexed_in_gsc_valid_export
powers firearms training corp,https://www.getcarryclass.com/instructors/powers-firearms-training-corp-b92aa297ae,2,indexed_in_gsc_valid_export
"g4 firearms, llc",https://www.getcarryclass.com/instructors/g4-firearms-2452c960d8,3,indexed_in_gsc_valid_export
defensive accuracy llc,https://www.getcarryclass.com/instructors/defensive-accuracy-llc-535d9771e5,2,indexed_in_gsc_valid_export
hansen firearms training,https://www.getcarryclass.com/instructors/hansen-firearms-training-a081954b67,2,indexed_in_gsc_valid_export
concealed coalition inc.,https://www.getcarryclass.com/instructors/concealed-coalition-01614f9f3e,3,indexed_in_gsc_valid_export
paragraph 2,https://www.getcarryclass.com/instructors/paragraph-2-cfe35d10b3,2,indexed_in_gsc_valid_export
g4 firearms,https://www.getcarryclass.com/instructors/g4-firearms-2452c960d8,3,indexed_in_gsc_valid_export
"hammer stryke self-reliance training, inc",https://www.getcarryclass.com/instructors/hammer-stryke-self-reliance-training-inc-a768c788f7,2,indexed_in_gsc_valid_export
shooter's paradise of yuba city,https://www.getcarryclass.com/instructors/shooter-s-paradise-of-yuba-city-c4a5980224,2,indexed_in_gsc_valid_export
