normalized_vendor_name,county,row_id,vendor_name
california online ccw,alpine,,California Online CCW
california online ccw,san-joaquin,,California Online CCW
california online ccw,tuolumne,,California Online CCW
california online ccw,yuba,,California Online CCW
case defensive training group,alpine,,Case Defensive Training Group
case defensive training group,calaveras,,Case Defensive Training Group
case defensive training group,tuolumne,,Case Defensive Training Group
dynamic ccw academy,alpine,,Dynamic CCW Academy
dynamic ccw academy,calaveras,,Dynamic CCW Academy
dynamic ccw academy,tuolumne,,Dynamic CCW Academy
northern firearms instruction,alpine,,Northern Firearms Instruction
northern firearms instruction,butte,,Northern Firearms Instruction
northern firearms instruction,calaveras,,Northern Firearms Instruction
northern firearms instruction,el-dorado,,Northern Firearms Instruction
northern firearms instruction,glenn,,Northern Firearms Instruction
northern firearms instruction,imperial,,Northern Firearms Instruction
northern firearms instruction,kings,,Northern Firearms Instruction
northern firearms instruction,los-angeles,,Northern Firearms Instruction
northern firearms instruction,merced,,Northern Firearms Instruction
northern firearms instruction,placer,,Northern Firearms Instruction
northern firearms instruction,santa-clara,,Northern Firearms Instruction
northern firearms instruction,stanislaus,,Northern Firearms Instruction
northern firearms instruction,sutter,,Northern Firearms Instruction
northern firearms instruction,tehama,,Northern Firearms Instruction
sierra ccw firearms training,alpine,,Sierra CCW Firearms Training
accuracy firearm training,amador,,Accuracy Firearm Training
accuracy firearm training,placer,,Accuracy Firearm Training
accuracy firearm training,tuolumne,,Accuracy Firearm Training
all american safety llc,amador,,All American Safety LLC
amador ccw instruction,amador,,Amador CCW Instruction
basic firearms training,amador,,Basic Firearms Training
basic firearms training,placer,,Basic Firearms Training
cali gunlady,amador,,Cali Gunlady
defensive accuracy,amador,,Defensive Accuracy
defensive accuracy,santa-clara,,Defensive Accuracy
delta romeo firearms training,amador,,Delta Romeo Firearms Training
gold country firearms,amador,,Gold Country Firearms
lagomarsino's firearm,amador,,Lagomarsino's Firearm
make ready firearms training,amador,,Make Ready Firearms Training
morgan training center,amador,,Morgan Training Center
new man's karate,amador,,New Man's Karate
new man's karate,el-dorado,,New Man's Karate
nts next threat solutions,amador,,NTS Next Threat Solutions
pistols in the pines,amador,,Pistols In The Pines
protection plus tactics,amador,,Protection Plus Tactics
protection plus tactics,nevada,,Protection Plus Tactics
spartan defense,amador,,Spartan Defense
spartan defense,santa-clara,,Spartan Defense
taylor total training solutions group,amador,,Taylor Total Training Solutions Group
weapons training school,amador,,Weapons Training School
weapons training school,calaveras,,Weapons Training School
weapons training school,tuolumne,,Weapons Training School
west point concealed weapons training,amador,,West Point Concealed Weapons Training
west point concealed weapons training,calaveras,,West Point Concealed Weapons Training
safely carry,amador,,Safely Carry
safely carry,placer,,Safely Carry
angel's firearm instruction,butte,,Angel's Firearm Instruction
angel's firearm instruction,tehama,,Angel's Firearm Instruction
afi crossed star firearms,butte,,AFI Crossed Star Firearms
down range indoor training center,butte,,Down Range Indoor Training Center
down range indoor training center,sutter,,Down Range Indoor Training Center
echo whiskey tactical,butte,,Echo Whiskey Tactical
echo whiskey tactical,plumas,,Echo Whiskey Tactical
echo whiskey tactical,shasta,,Echo Whiskey Tactical
"black oak training, inc.",butte,,"Black Oak Training, Inc."
"black oak training, inc.",glenn,,"Black Oak Training, Inc."
"black oak training, inc.",tehama,,"Black Oak Training, Inc."
miladi defense,butte,,Miladi Defense
miladi defense,placer,,Miladi Defense
miladi defense,sutter,,Miladi Defense
miladi defense,yuba,,Miladi Defense
jim's sporting goods,butte,,Jim's Sporting Goods
baxter firearms training,calaveras,,Baxter Firearms Training
baxter firearms training,placer,,Baxter Firearms Training
bill tidwell,calaveras,,Bill Tidwell
called2arms gun range,calaveras,,Called2Arms Gun Range
called2arms gun range,merced,,Called2Arms Gun Range
cj's world,calaveras,,CJ'S World
cj's world,placer,,CJ's World
coco firearm training,calaveras,,Coco Firearm Training
concealed coalition,calaveras,,Concealed Coalition
concealed coalition,fresno,,Concealed Coalition
concealed coalition,glenn,,Concealed Coalition
concealed coalition,kings,,Concealed Coalition
concealed coalition,los-angeles,,Concealed Coalition
concealed coalition,mono,,Concealed Coalition
concealed coalition,napa,,Concealed Coalition
concealed coalition,orange,,Concealed Coalition
concealed coalition,san-benito,,Concealed Coalition
concealed coalition,san-joaquin,,Concealed Coalition
concealed coalition,tulare,,Concealed Coalition
"defensive accuracy, llc",calaveras,,"Defensive Accuracy, LLC"
"defensive accuracy, llc",marin,,"Defensive Accuracy, LLC"
"defensive accuracy, llc",napa,,"Defensive Accuracy, LLC"
"defensive accuracy, llc",stanislaus,,"Defensive Accuracy, LLC"
"defensive accuracy, llc",contra-costa,,"Defensive Accuracy, LLC"
defensive weapons school,calaveras,,Defensive Weapons School
defensive weapons school,san-joaquin,,Defensive Weapons School
dobbs firearms training,calaveras,,Dobbs Firearms Training
"first response, firearms & tactical training",calaveras,,"First Response, Firearms & Tactical Training"
grover group,calaveras,,Grover Group
grover group,madera,,Grover Group
grover group,marin,,Grover Group
grover group,merced,,Grover Group
grover group,napa,,Grover Group
grover group,placer,,Grover Group
grover group,san-benito,,Grover Group
grover group,santa-clara,,Grover Group
grover group,santa-cruz,,Grover Group
grover group,tuolumne,,Grover Group
"kiwi's custom guns, inc.",calaveras,,"Kiwi's Custom Guns, Inc."
kw defense,calaveras,,KW Defense
kw defense,san-joaquin,,KW Defense
lagomarsino's firearms institute,calaveras,,Lagomarsino's Firearms Institute
loyal arms,calaveras,,Loyal Arms
rosengarten firearm training,calaveras,,Rosengarten Firearm Training
security & firearms training academy,calaveras,,Security & Firearms Training Academy
spartan defense of california,calaveras,,Spartan Defense of California
bigfoot firearms training academy,del-norte,,Bigfoot Firearms Training Academy
bigfoot firearms training academy,glenn,,Bigfoot Firearms Training Academy
bigfoot firearms training academy,humboldt,,Bigfoot Firearms Training Academy
bigfoot firearms training academy,marin,,Bigfoot Firearms Training Academy
bigfoot firearms training academy,mendocino,,Bigfoot Firearms Training Academy
bigfoot firearms training academy,tehama,,Bigfoot Firearms Training Academy
bigfoot firearms training academy,trinity,,Bigfoot Firearms Training Academy
bob saylor,del-norte,,Bob Saylor
gene mcmanus,del-norte,,Gene McManus
ed fleshman,del-norte,,Ed Fleshman
best handgun training,el-dorado,,Best Handgun Training
defense shot,el-dorado,,Defense Shot
defense shot,nevada,,Defense Shot
defense shot,placer,,Defense Shot
hangtown range,el-dorado,,Hangtown Range
lagomarsino's firearm institute inc,el-dorado,,Lagomarsino's Firearm Institute Inc
lock-n-load,el-dorado,,Lock-n-Load
one on one firearms instruction llc,el-dorado,,One on One Firearms Instruction LLC
sacramento gun range,el-dorado,,Sacramento Gun Range
sacramento gun range,placer,,Sacramento Gun Range
shoot don't shoot,el-dorado,,Shoot Don't Shoot
sierra mountain firearms,el-dorado,,Sierra Mountain Firearms
aao,el-dorado,,AAO
aao,imperial,,AAO
aao,lassen,,AAO
aao,marin,,AAO
aao,san-benito,,AAO
aao,solano,,AAO
safe insight,el-dorado,,Safe Insight
safe insight,lassen,,Safe Insight
safe insight,los-angeles,,Safe Insight
safe insight,tuolumne,,Safe Insight
safe insight,ventura,,Safe Insight
freedom firearms accessories & ccw training,fresno,,Freedom Firearms Accessories & CCW Training
madera regional training facility,fresno,,Madera Regional Training Facility
fresno rifle & pistol club,fresno,,Fresno Rifle & Pistol Club
next step training,fresno,,Next Step Training
next step training,tulare,,Next Step Training
jlpfi - john lewis professional firearms instruction,fresno,,JLPFI - John Lewis Professional Firearms Instruction
tactical 360,fresno,,Tactical 360
foothill training,fresno,,Foothill Training
foothill training,kings,,Foothill Training
foothill training,madera,,Foothill training
foothill training,tulare,,Foothill Training
instinct defense,fresno,,Instinct Defense
instinct defense,madera,,Instinct Defense
instinct defense,tulare,,Instinct Defense
vigilance plus training & development,fresno,,Vigilance Plus Training & Development
vigilance plus training & development,kings,,Vigilance Plus Training & Development
vigilance plus training & development,tulare,,Vigilance Plus Training & Development
police science institute & range pistol club,fresno,,Police Science Institute & Range Pistol Club
zaks guns,fresno,,Zaks Guns
sun mountain gun club,fresno,,Sun Mountain Gun Club
chavez firearms 209,fresno,,Chavez Firearms 209
rainey mays gun shop,fresno,,Rainey Mays Gun Shop
central valley defensive training,fresno,,Central Valley Defensive Training
central valley defensive training,madera,,Central Valley Defensive Training
acam society llc,fresno,,ACAM Society LLC
acam society llc,madera,,ACAM Society LLC
acam society llc,tulare,,ACAM Society LLC
the firing line,fresno,,The Firing Line
the firing line,kings,,The Firing Line
the firing line,madera,,The Firing Line
the firing line,tulare,,The Firing Line
practical training solutions llc,fresno,,Practical Training Solutions LLC
april skye defense tactics,fresno,,April Skye Defense Tactics
april skye defense tactics,tulare,,April Skye Defense Tactics
ccw shooters,glenn,,CCW Shooters
ccw shooters,napa,,CCW Shooters
ccw shooters,nevada,,CCW Shooters
ccw shooters,san-diego,,CCW Shooters
ccw shooters,sutter,,CCW Shooters
ccw shooters,yuba,,CCW Shooters
down range,glenn,,Down Range
down range,lassen,,Down Range
down range,plumas,,Down Range
down range,shasta,,Down Range
down range,tehama,,Down Range
down range,yuba,,Down Range
norcal defense,glenn,,Norcal Defense
norcal defense,tehama,,NorCal Defense
state of jefferson firearms training,glenn,,State of Jefferson Firearms Training
state of jefferson firearms training,siskiyou,,State of Jefferson Firearms Training
state of jefferson firearms training,tehama,,State of Jefferson Firearms Training
state of jefferson firearms training,trinity,,State of Jefferson Firearms Training
crossed star firearms,glenn,,Crossed Star Firearms
crossed star firearms,lassen,,Crossed Star Firearms
crossed star firearms,nevada,,Crossed Star Firearms
crossed star firearms,placer,,Crossed Star Firearms
crossed star firearms,plumas,,Crossed Star Firearms
crossed star firearms,san-benito,,Crossed Star Firearms
crossed star firearms,sutter,,Crossed Star Firearms
crossed star firearms,yuba,,Crossed Star Firearms
michigan firearm and cpl training,glenn,,Michigan Firearm and CPL Training
norcal tactical,glenn,,NorCal Tactical
norcal tactical,yuba,,NorCal Tactical
aao training,glenn,,AAO Training
aao training,placer,,AAO Training
bushido training group,imperial,,Bushido Training Group
powers firearms training,inyo,,Powers Firearms Training
powers firearms training,tulare,,Powers Firearms Training
sttarr – sierra tactical training,inyo,,STTARR – Sierra Tactical Training
ben liu firearms instructor,kings,,Ben Liu Firearms Instructor
central valley ccw,kings,,Central Valley CCW
central valley ccw,madera,,Central Valley CCW
gallardo firearms training,kings,,Gallardo Firearms Training
"hard focus firearms training, llc",kings,,"Hard Focus Firearms Training, LLC"
"hard focus firearms training, llc",merced,,"Hard Focus Firearms Training, LLC"
police science institute,kings,,Police Science Institute
police science institute,madera,,Police Science Institute
police science institute,merced,,Police Science Institute
practical training solutions,kings,,Practical Training Solutions
practical training solutions,tulare,,Practical Training Solutions
rankin field weapons range,kings,,Rankin Field Weapons Range
wade roberts firearms training,kings,,Wade Roberts Firearms Training
wilson tactical operations and training llc,kings,,Wilson Tactical Operations and Training LLC
mendo ccw,lake,,Mendo CCW
mendo ccw,mendocino,,Mendo CCW
distinguished firearms,lassen,,Distinguished Firearms
distinguished firearms,siskiyou,,Distinguished Firearms
echo whiskey tactical training,lassen,,Echo Whiskey Tactical Training
echo whiskey tactical training,tehama,,Echo Whiskey Tactical Training
l7 adventures,lassen,,L7 Adventures
northern firearm instruction,lassen,,Northern Firearm Instruction
northern firearm instruction,shasta,,Northern Firearm Instruction
one on one firearms,lassen,,One on One Firearms
one on one firearms,napa,,ONE on ONE Firearms
one on one firearms,nevada,,One on One Firearms
trb training ft3 tactical range,los-angeles,,TRB Training FT3 Tactical Range
mv tactical & firearms training,los-angeles,,MV Tactical & Firearms Training
firearms training associates,los-angeles,,Firearms Training Associates
firearms training associates,orange,,Firearms Training Associates
firearms training associates,riverside,,Firearms Training Associates
double tap training center,los-angeles,,Double Tap Training Center
aegis authority,los-angeles,,Aegis Authority
medic up consulting,los-angeles,,Medic Up Consulting
calguns training,los-angeles,,CalGuns Training
shootsafe academy ft3 tactical range,los-angeles,,ShootSafe Academy FT3 Tactical Range
ccw permit instruction evans gun world,los-angeles,,CCW Permit Instruction Evans Gun World
vip ccw services lax airport range,los-angeles,,VIP CCW Services LAX Airport Range
coach k's training,los-angeles,,Coach K's Training
coach k's training,orange,,Coach K's Training
coach k's training,riverside,,Coach K's Training
coach k's training,san-diego,,Coach K's Training
jarvis firearms training,los-angeles,,Jarvis Firearms Training
armed response marksman the gun shop,los-angeles,,Armed Response Marksman The Gun Shop
apex firearms training,los-angeles,,Apex Firearms Training
apex firearms training,ventura,,Apex Firearms Training
"paragraph 2, llc",los-angeles,,"Paragraph 2, LLC"
"paragraph 2, llc",orange,,"Paragraph 2, LLC"
"defensive firearms training, llc",los-angeles,,"Defensive Firearms Training, LLC"
basic gun safety ft3 tactical range,los-angeles,,Basic Gun Safety FT3 Tactical Range
first step shooting lax airport range,los-angeles,,First Step Shooting LAX Airport Range
hansen firearms training ft3 tactical range,los-angeles,,Hansen Firearms Training FT3 Tactical Range
elite ccw and firearms training,los-angeles,,Elite CCW and Firearms Training
southwest training center,los-angeles,,SouthWest Training Center
together we step,los-angeles,,Together we Step
evans security training academy & range,los-angeles,,Evans Security Training Academy & Range
alpha culture llc,los-angeles,,Alpha Culture LLC
nationwideccw,los-angeles,,NationwideCCW
public safety institute,los-angeles,,Public Safety Institute
comfort zone assurance,los-angeles,,Comfort Zone Assurance
comfort zone assurance,orange,,Comfort Zone Assurance
308 tactical firearms training,los-angeles,,308 Tactical Firearms Training
308 tactical firearms training,san-diego,,308 Tactical Firearms Training
phoenix tactical solutions,los-angeles,,Phoenix Tactical Solutions
phoenix tactical solutions,san-diego,,Phoenix Tactical Solutions
kd security group,los-angeles,,KD Security Group
la progressive shooters,los-angeles,,LA Progressive Shooters
the ccw school,los-angeles,,The CCW School
the ccw school,orange,,The CCW School
the ccw school,san-diego,,The CCW School
american academy of protective training,los-angeles,,American Academy of Protective Training
route 66 shooting sports park,los-angeles,,Route 66 Shooting Sports Park
cobra tactical inc.,los-angeles,,Cobra Tactical Inc.
advanced combat evolutions,madera,,Advanced Combat Evolutions
april-skye defense tactics,madera,,April-Skye Defense Tactics
duck and cover tactical,madera,,Duck and Cover Tactical
freedom firearms,madera,,Freedom Firearms
freedom firearms,tulare,,Freedom Firearms
fresno rifle and pistol club,madera,,Fresno Rifle and Pistol Club
hammer stryke,madera,,Hammer Stryke
hammer stryke,mariposa,,Hammer Stryke
hard focus training,madera,,Hard Focus Training
paco villareal,madera,,Paco Villareal
stage stop gun shop,madera,,Stage Stop Gun Shop
stage stop gun shop,mariposa,,Stage Stop Gun Shop
stage stop gun shop,merced,,Stage Stop Gun Shop
stage stop gun shop,tuolumne,,Stage Stop Gun Shop
tony aguilar,madera,,Tony Aguilar
zaks guns llc,madera,,Zaks Guns LLC
zaks guns llc,tulare,,Zaks Guns LLC
2a firearms academy,marin,,2A Firearms Academy
2a firearms academy,solano,,2A Firearms Academy
bay area tactical group (bat tactical),marin,,Bay Area Tactical Group (BAT Tactical)
bay area tactical group (bat tactical),san-benito,,Bay Area Tactical Group (BAT Tactical)
bay area tactical group (bat tactical),contra-costa,,Bay Area Tactical Group (BAT Tactical)
coco firearm training llc,marin,,Coco Firearm Training LLC
"crosshair training, llc",marin,,"Crosshair Training, LLC"
"crosshair training, llc",napa,,"Crosshair Training, LLC"
execushield training center,marin,,Execushield Training Center
paladin tactical us,marin,,Paladin Tactical US
paladin tactical us,placer,,Paladin Tactical US
paladin tactical us,sonoma,,Paladin Tactical US
paladin tactical us,contra-costa,,Paladin Tactical US
showket training,marin,,Showket Training
showket training,napa,,Showket Training
showket training,santa-clara,,Showket Training
jlpfi,mariposa,,JLPFI
jlpfi,tulare,,JLPFI
hard focus firearms,mariposa,,Hard Focus Firearms
valley defense consulting inc.,mariposa,,Valley Defense Consulting Inc.
kim milani,mendocino,,Kim Milani
edward davies,mendocino,,Edward Davies
marco a. innocenti,mendocino,,Marco A. Innocenti
valley defense consulting,merced,,Valley Defense Consulting
valley defense consulting,tuolumne,,Valley Defense Consulting
kiwi's custom guns,merced,,Kiwi's Custom Guns
kiwi's custom guns,tuolumne,,Kiwi's Custom Guns
g&l security training,merced,,G&L Security Training
m2 firearms training,merced,,M2 Firearms Training
rescue74cpr,merced,,Rescue74CPR
rescue74cpr,stanislaus,,Rescue74CPR
john lewis professional firearms instruction,merced,,John Lewis Professional Firearms Instruction
"hammer stryke self-reliance training, inc.",merced,,"Hammer Stryke Self-Reliance Training, Inc."
"first priority security consulting, llc",merced,,"First Priority Security Consulting, LLC"
559 ccw,merced,,559 CCW
559 ccw,plumas,,559 CCW
bull's eye firearms,modoc,,Bull's Eye Firearms
distinguished firearms instruction,modoc,,Distinguished Firearms Instruction
distinguished firearms instruction,shasta,,Distinguished Firearms Instruction
distinguished firearms instruction,tehama,,Distinguished Firearms Instruction
jon ludwick,modoc,,Jon Ludwick
state of jefferson outdoors,modoc,,State of Jefferson Outdoors
firearms academy of redding,modoc,,Firearms Academy of Redding
firearms academy of redding,shasta,,Firearms Academy of Redding
firearms academy of redding,siskiyou,,Firearms Academy of Redding
firearms academy of redding,tehama,,Firearms Academy of Redding
firearms academy of redding,trinity,,Firearms Academy of Redding
559 ccw llc,modoc,,559 CCW LLC
northern firearms instruction - california online ccw,modoc,,Northern Firearms Instruction - California Online CCW
powers firearms training corp,mono,,Powers Firearms Training Corp
california and nevada ccw,mono,,California and Nevada CCW
safe and tactical firearms training,mono,,Safe and Tactical Firearms Training
guns4us,mono,,Guns4US
u.s. lawshield,mono,,U.S. LawShield
u.s. lawshield,plumas,,U.S. LawShield
u.s. lawshield,san-benito,,U.S. Lawshield
u.s. lawshield,sierra,,U.S. LawShield
"g4 firearms, llc",napa,,"G4 Firearms, LLC"
the range,nevada,,The Range
the range,placer,,The Range
the range,sierra,,The Range
weber firearms,nevada,,Weber Firearms
the gun range,nevada,,The Gun Range
defensive triad,nevada,,Defensive Triad
defensive accuracy llc,nevada,,Defensive Accuracy LLC
bad moon shooting,nevada,,Bad Moon Shooting
bad moon shooting,placer,,Bad Moon Shooting
bad moon shooting,yuba,,Bad Moon Shooting
a best ccw training,nevada,,A Best CCW Training
a best ccw training,yuba,,A Best CCW Training
nsp firearms instruction,nevada,,NSP Firearms Instruction
nsp firearms instruction,placer,,NSP Firearms Instruction
apex defensive strategies,orange,,Apex Defensive Strategies
artifex firearms training,orange,,Artifex Firearms Training
fortitude int'l firearm training,orange,,Fortitude Int'l Firearm Training
semper safe,orange,,Semper Safe
semper safe,riverside,,Semper Safe
"5150 heat, llc.",orange,,"5150 Heat, LLC."
vip ccw services,orange,,VIP CCW Services
vip ccw services,san-diego,,VIP CCW Services
be fast,orange,,Be Fast
cal-patriot defense,orange,,Cal-Patriot Defense
"safe insight, llc",orange,,"Safe Insight, LLC"
eliteccw firearms training,orange,,EliteCCW Firearms Training
magnaproducts,orange,,MagnaProducts
"tap rack bang, llc",orange,,"Tap Rack Bang, LLC"
sentri institute inc.,orange,,Sentri Institute Inc.
basic gun safety,orange,,Basic Gun Safety
defensive training oc,orange,,Defensive Training OC
hansen firearms training,orange,,Hansen Firearms Training
hansen firearms training,san-diego,,Hansen Firearms Training
hot rods & handguns,orange,,Hot Rods & Handguns
mana group security and training,orange,,Mana Group Security and Training
shootsafe academy,orange,,ShootSafe Academy
shootsafe academy,riverside,,ShootSafe Academy
shootsafe academy,san-diego,,ShootSafe Academy
civilian arms training source,orange,,Civilian Arms Training Source
application tactical,orange,,Application Tactical
on-target indoor shooting range,orange,,On-Target Indoor Shooting Range
artemis defense institute,orange,,Artemis Defense Institute
not today self defense,orange,,Not Today Self Defense
ten-8 tactical firearms training,orange,,Ten-8 Tactical Firearms Training
ten-8 tactical firearms training,riverside,,Ten-8 Tactical Firearms Training
allsafe defense systems,orange,,AllSafe Defense Systems
evans gun world,orange,,Evans Gun World
"forza defense training, llc",orange,,"Forza Defense Training, LLC"
oc online gun certificate,orange,,OC Online Gun Certificate
"archer firearms training, llc",orange,,"Archer Firearms Training, LLC"
san clemente firearms training,orange,,San Clemente Firearms Training
aegis self defense,placer,,Aegis Self Defense
alpha shield ccw,placer,,Alpha Shield CCW
basic to advanced firearms training,placer,,Basic to Advanced Firearms Training
clavin consulting,placer,,Clavin Consulting
confidence safety academy,placer,,Confidence Safety Academy
dafast,placer,,DAFAST
dafast,sutter,,Dafast
dafast,yuba,,DAFAST
dead eye dames,placer,,Dead Eye Dames
down-range logistics,placer,,Down-Range Logistics
eagle defense,placer,,Eagle Defense
ewg guns,placer,,EWG Guns
ewg guns,sierra,,EWG Guns
family defense training llc,placer,,Family Defense Training LLC
gunlady,placer,,Gunlady
"jon kennedy consulting, inc.",placer,,"Jon Kennedy Consulting, Inc."
knc firearms training,placer,,KNC Firearms Training
kp protection consulting,placer,,KP Protection Consulting
"lagomarsino's firearms institute, inc.",placer,,"Lagomarsino's Firearms Institute, Inc."
liberty firearms training,placer,,Liberty Firearms Training
lock n load concealed carry,placer,,Lock N Load Concealed Carry
next threat solutions,placer,,Next Threat Solutions
"protection plus tactics, llc",placer,,"Protection Plus Tactics, LLC"
"security & firearms training academy, inc.",placer,,"Security & Firearms Training Academy, Inc."
solidarity defense,placer,,Solidarity Defense
sure grip arms,placer,,Sure Grip Arms
aao (american armed ordinance),placer,,AAO (American Armed Ordinance)
a2 firearms,riverside,,A2 Firearms
alphaculture llc,riverside,,AlphaCulture LLC
brothers & arms usa / riverside ccw training,riverside,,Brothers & Arms USA / Riverside CCW Training
chambered defenses,riverside,,Chambered Defenses
clubb 1 investigations llc,riverside,,Clubb 1 Investigations LLC
concealed coalition inc.,riverside,,Concealed Coalition Inc.
"defensive tactics and firearms, llc",riverside,,"Defensive Tactics and Firearms, LLC"
family and freedom defense,riverside,,Family and Freedom Defense
family and freedom defense,san-diego,,Family and Freedom Defense
firearms academy,riverside,,Firearms Academy
foley firearms training,riverside,,Foley Firearms Training
force defensive firearms training,riverside,,Force Defensive Firearms Training
guardian training unit non-profit,riverside,,Guardian Training Unit Non-Profit
heavens betting on us,riverside,,Heavens Betting on Us
"l & l firearms training, llc",riverside,,"L & L Firearms Training, LLC"
luna tactical,riverside,,Luna Tactical
medic up consulting llc,riverside,,Medic Up Consulting LLC
millenia defense llc,riverside,,Millenia Defense LLC
"non-sheep firearms & training, llc",riverside,,"NON-Sheep Firearms & Training, LLC"
outlaw armory,riverside,,Outlaw Armory
paragraph 2,riverside,,Paragraph 2
paragraph 2,san-diego,,Paragraph 2
personal protection academy,riverside,,Personal Protection Academy
personal protection academy,san-diego,,Personal Protection Academy
practical is tactical,riverside,,Practical Is Tactical
protector ccw & firearms,riverside,,Protector CCW & Firearms
resounding arms,riverside,,Resounding Arms
right 2 bear (r2b): firearm safety & education,riverside,,Right 2 Bear (R2B): Firearm Safety & Education
riverside county sheriff ben clark training center,riverside,,Riverside County Sheriff Ben Clark Training Center
riverside indoor shooting range,riverside,,Riverside Indoor Shooting Range
riverside sharpshooter,riverside,,Riverside Sharpshooter
solutions group international,riverside,,Solutions Group International
special enforcement,riverside,,Special Enforcement
street safe defense firearms training program,riverside,,Street Safe Defense Firearms Training Program
5 arrows tactical,riverside,,5 Arrows Tactical
azone defense llc,riverside,,Azone Defense LLC
ca outdoors,riverside,,CA Outdoors
docking bay 94 armory,riverside,,Docking Bay 94 Armory
fortune firearms,riverside,,Fortune Firearms
fortune firearms,san-diego,,Fortune Firearms
prevailing tactics,riverside,,Prevailing Tactics
rising phoenix academy,riverside,,Rising Phoenix Academy
tap rack bang training,riverside,,Tap Rack Bang Training
the beaumont indoor shooting range,riverside,,The Beaumont Indoor Shooting Range
the right 2 ccw,riverside,,The Right 2 CCW
unity of arms,riverside,,Unity of Arms
veteran's training group,riverside,,Veteran's Training Group
alpha tango operations group,riverside,,Alpha Tango Operations Group
b2b training,riverside,,B2B Training
defensive firearms solutions,riverside,,Defensive Firearms Solutions
draken armory,riverside,,Draken Armory
fight or flight,riverside,,Fight or Flight
focal point academy,riverside,,Focal Point Academy
focal point academy,san-diego,,Focal Point Academy
"guns of distinction, llc",riverside,,"Guns of Distinction, LLC"
"johnnie b. wood, llc. security training",riverside,,"Johnnie B. Wood, LLC. Security Training"
taking flight firearm training,riverside,,Taking Flight Firearm Training
the training center,riverside,,The Training Center
willis home defense,riverside,,Willis Home Defense
6th nation gun club,san-benito,,6th Nation Gun Club
bay area firearms,san-benito,,Bay Area Firearms
kysmet services,san-benito,,Kysmet Services
hard focus firearms training,san-benito,,Hard Focus Firearms Training
hard focus firearms training,stanislaus,,Hard Focus Firearms Training
hard focus firearms training,tuolumne,,Hard Focus Firearms Training
saber tactics,san-benito,,Saber Tactics
saber tactics,santa-clara,,Saber Tactics
saber tactics,santa-cruz,,Saber Tactics
saber tactics,tuolumne,,Saber Tactics
asp security tactics,san-benito,,ASP Security Tactics
executech inc.,san-benito,,Executech Inc.
california ccw courses,san-benito,,California CCW Courses
mcgrew & associates inc.,san-benito,,McGrew & Associates Inc.
bay area tactical (bat),san-joaquin,,Bay Area Tactical (BAT)
defensive accuracy firearms training,san-joaquin,,Defensive Accuracy Firearms Training
elite armory plus,san-joaquin,,Elite Armory Plus
hammerhead institute of training,san-joaquin,,Hammerhead Institute of Training
linden gun range,san-joaquin,,Linden Gun Range
valley defensive solutions,san-joaquin,,Valley Defensive Solutions
valley defensive solutions,santa-clara,,Valley Defensive Solutions
elite armory,san-joaquin,,Elite Armory
advantage personal defense & tactics,san-luis-obispo,,Advantage Personal Defense & Tactics
gryphon gun works,san-luis-obispo,,Gryphon Gun Works
peacekeeper specialized training institute,san-luis-obispo,,Peacekeeper Specialized Training Institute
the gun school,san-luis-obispo,,The Gun School
the gun school,tulare,,The Gun School
"2nd a firearms training, llc",san-diego,,"2nd A Firearms Training, LLC"
ccw usa firearms training,san-diego,,CCW USA Firearms Training
discount gun mart,san-diego,,Discount Gun Mart
practical defense systems,san-diego,,Practical Defense Systems
the gunsmith guy,san-diego,,The Gunsmith Guy
poway weapons and gear,san-diego,,Poway Weapons and Gear
mclaren defense,san-diego,,McLaren Defense
forza defense training,san-diego,,Forza Defense Training
arc angel defense,san-diego,,ARC Angel Defense
atlas defense group,san-diego,,Atlas Defense Group
"jrc consulting, inc.",san-diego,,"JRC Consulting, Inc."
personal protection fire-arms training,san-diego,,Personal Protection Fire-Arms Training
