county,vendor_name,instructor_names,website_url,phone,email,city,state,source_url,source_type
orange,Apex Defensive Strategies,,,714-497-0714,,Anaheim,CA,https://www.ocsheriff.gov/sites/ocsd/files/2026-03/CCW%20Training%20Providers%20REV%203-6-2026.pdf,pdf
orange,Artifex Firearms Training,,,949-861-0693,,Anaheim,CA,https://www.ocsheriff.gov/sites/ocsd/files/2026-03/CCW%20Training%20Providers%20REV%203-6-2026.pdf,pdf
orange,Down Range Firearms Safety Training Academy,,,714-322-8702,,Anaheim,CA,https://www.ocsheriff.gov/sites/ocsd/files/2026-03/CCW%20Training%20Providers%20REV%203-6-2026.pdf,pdf
orange,Fortitude Int'l Firearm Training,,,714-312-9613,,Anaheim Hills,CA,https://www.ocsheriff.gov/sites/ocsd/files/2026-03/CCW%20Training%20Providers%20REV%203-6-2026.pdf,pdf
orange,"Paragraph 2, LLC",,,714-200-1202,,Anaheim Hills,CA,https://www.ocsheriff.gov/sites/ocsd/files/2026-03/CCW%20Training%20Providers%20REV%203-6-2026.pdf,pdf
orange,"Safe Path Firearms Training, LLC",,,714-381-4195,,Anaheim Hills,CA,https://www.ocsheriff.gov/sites/ocsd/files/2026-03/CCW%20Training%20Providers%20REV%203-6-2026.pdf,pdf
orange,Semper Safe,,,714-328-1473,,Anaheim Hills,CA,https://www.ocsheriff.gov/sites/ocsd/files/2026-03/CCW%20Training%20Providers%20REV%203-6-2026.pdf,pdf
orange,"5150 Heat, LLC.",,,714-680-5500,,Brea,CA,https://www.ocsheriff.gov/sites/ocsd/files/2026-03/CCW%20Training%20Providers%20REV%203-6-2026.pdf,pdf
orange,VIP CCW Services,,,310-500-9200,,Brea,CA,https://www.ocsheriff.gov/sites/ocsd/files/2026-03/CCW%20Training%20Providers%20REV%203-6-2026.pdf,pdf
orange,Be Fast,,,949-485-1938,,Capistrano Beach,CA,https://www.ocsheriff.gov/sites/ocsd/files/2026-03/CCW%20Training%20Providers%20REV%203-6-2026.pdf,pdf
orange,Cal-Patriot Defense,,,949-295-8122,,Costa Mesa,CA,https://www.ocsheriff.gov/sites/ocsd/files/2026-03/CCW%20Training%20Providers%20REV%203-6-2026.pdf,pdf
orange,"Safe Insight, LLC",,,877-217-7233,,Cypress,CA,https://www.ocsheriff.gov/sites/ocsd/files/2026-03/CCW%20Training%20Providers%20REV%203-6-2026.pdf,pdf
orange,EliteCCW Firearms Training,,,714-600-3120,,Fountain Valley,CA,https://www.ocsheriff.gov/sites/ocsd/files/2026-03/CCW%20Training%20Providers%20REV%203-6-2026.pdf,pdf
