county,vendor_name,instructor_names,email,phone,website_url,booking_capability,city,state,address,price_16hr_day1,price_16hr_day2,price_16hr_full,price_8hr_renewal,price_8hr_initial,price_add_a_gun,vendor_description,crawl_status,enrichment_confidence,confidence_notes,logo_path,instructor_image_paths,training_image_paths,enriched_at
orange,Apex Defensive Strategies,,,714-497-0714,https://apexdefensivestrategies.com,,Anaheim,CA,,,,,,,,,,,,,,,
orange,Artifex Firearms Training,,,949-861-0693,https://www.artifexfirearmstraining.com,,Anaheim,CA,,,,,,,,,,,,,,,
orange,Down Range Firearms Safety Training Academy,,,714-322-8702,,,Anaheim,CA,,,,,,,,,,,,,,,
orange,Fortitude Int'l Firearm Training,,,714-312-9613,https://www.fortitudeintl.net,,Anaheim Hills,CA,,,,,,,,,,,,,,,
orange,"Paragraph 2, LLC",,,714-200-1202,https://paragraph2.net,,Anaheim Hills,CA,,,,,,,,,,,,,,,
orange,"Safe Path Firearms Training, LLC",,,714-381-4195,https://www.safepathfirearmstrainingllc.com,,Anaheim Hills,CA,,,,,,,,,,,,,,,
orange,Semper Safe,,,714-328-1473,https://www.sempersafe.us,,Anaheim Hills,CA,,,,,,,,,,,,,,,
orange,"5150 Heat, LLC.",,,714-680-5500,https://www.5150heat.com,,Brea,CA,,,,,,,,,,,,,,,
orange,VIP CCW Services,,,310-500-9200,https://www.vipccwservices.com,,Brea,CA,,,,,,,,,,,,,,,
orange,Be Fast,,,949-485-1938,https://www.befastraining.com,,Capistrano Beach,CA,,,,,,,,,,,,,,,
orange,Cal-Patriot Defense,,,949-295-8122,https://www.calpatriotdefense.com,,Costa Mesa,CA,,,,,,,,,,,,,,,
orange,"Safe Insight, LLC",,,877-217-7233,https://www.safeinsight.net,,Cypress,CA,,,,,,,,,,,,,,,
orange,EliteCCW Firearms Training,,,714-600-3120,https://www.eliteccw.com,,Fountain Valley,CA,,,,,,,,,,,,,,,
orange,MagnaProducts,,,909-798-9211,https://www.magnaproducts.net,,Fullerton,CA,,,,,,,,,,,,,,,
orange,"Tap Rack Bang, LLC",,,949-566-7263,https://www.trbtraining.com,,Fullerton,CA,,,,,,,,,,,,,,,
orange,The CCW School,,,562-645-3494,https://www.theccwschool.com,,Fullerton,CA,,,,,,,,,,,,,,,
orange,Sentri Institute Inc.,,,949-591-9747,https://www.sentriinstitute.com,,Garden Grove,CA,,,,,,,,,,,,,,,
orange,Basic Gun Safety,,,714-864-0203,https://www.basicgunsafety.com,,Garden Grove,CA,,,,,,,,,,,,,,,
orange,Concealed Coalition,,,800-805-2238,https://www.concealedcoalition.com,,Huntington Beach,CA,,,,,,,,,,,,,,,
orange,Defensive Training OC,,,714-854-3440,https://www.dt-oc.com,,Huntington Beach,CA,,,,,,,,,,,,,,,
orange,Hansen Firearms Training,,,949-573-4099,https://www.californiagunpermit.com,,Garden Grove,CA,,,,,,,,,,,,,,,
orange,Hot Rods & Handguns,,,714-766-7400,https://www.hotrodsandhandguns.com,,Huntington Beach,CA,,,,,,,,,,,,,,,
orange,Mana Group Security and Training,,,714-925-2448,https://www.managrouptrainingsolutions.com,,Huntington Beach,CA,,,,,,,,,,,,,,,
orange,Self-Defense Firearms Training,,,714-893-8676,https://www.firearmtraining.com,,Huntington Beach,CA,,,,,,,,,,,,,,,
orange,Shootsafe Academy,,,714-625-1507,https://www.shootsafeacademy.com,,Huntington Beach,CA,,,,,,,,,,,,,,,
orange,"Raptor Safe Consulting, Inc.",,,949-259-8221,https://www.raptor-safe.com,,Irvine,CA,,,,,,,,,,,,,,,
orange,Coach K's Training,,,714-724-8705,https://www.coachkstraining.com,,La Habra,CA,,,,,,,,,,,,,,,
orange,Civilian Arms Training Source,,,714-719-3775,https://www.civilianarmstraining.com,,La Palma,CA,,,,,,,,,,,,,,,
orange,Application Tactical,,,949-441-2842,https://www.applicationtactical.com,,Laguna Hills,CA,,,,,,,,,,,,,,,
orange,On-Target Indoor Shooting Range,,,949-348-0352,https://www.ontargetrange.com,,Laguna Niguel,CA,,,,,,,,,,,,,,,
orange,Artemis Defense Institute,,,949-305-6586,https://adi.artemishq.com,,Lake Forest,CA,,,,,,,,,,,,,,,
orange,Not Today Self Defense,,,562-666-9988,https://www.nottodaydefense.com,,Mission Viejo,CA,,,,,,,,,,,,,,,
orange,Ten-8 Tactical Firearms Training,,,800-741-1350,https://www.10-8tac.com,,Newport Beach,CA,,,,,,,,,,,,,,,
orange,AllSafe Defense Systems,,,714-744-4485,https://www.allsafedefense.com,,Orange,CA,,,,,,,,,,,,,,,
orange,Comfort Zone Assurance,,,760-500-4127,https://www.comfortzoneassurance.com,,Orange,CA,,,,,,,,,,,,,,,
orange,Evans Gun World,,,714-283-5248,https://evansgunworld.com,,Orange,CA,,,,,,,,,,,,,,,
orange,"Forza Defense Training, LLC",,,714-406-2828,https://www.forzadefense.com,,Orange,CA,,,,,,,,,,,,,,,
orange,OC Online Gun Certificate,,,714-944-3036,https://oconlineguncert.com,,Orange,CA,,,,,,,,,,,,,,,
orange,"Archer Firearms Training, LLC",,,657-258-4443,https://www.archerfirearmstraining.com,,Placentia,CA,,,,,,,,,,,,,,,
orange,San Clemente Firearms Training,,,949-690-7109,https://www.sanclementefirearmstraining.com,,San Clemente,CA,,,,,,,,,,,,,,,
orange,Darells Shooting Sports,,,949-599-4148,https://www.darellsshootingsports.com,,San Juan Capistrano,CA,,,,,,,,,,,,,,,
orange,CCW Permit Instruction,,,949-769-9099,https://www.ccwpermitinstruction.com,,Santa Ana,CA,,,,,,,,,,,,,,,
orange,Firearms Training Associates,,,714-701-9918,https://www.ftatv.com,,Yorba Linda,CA,,,,,,,,,,,,,,,
