county,vendor_name,instructor_names,email,phone,website_url,booking_capability,city,state,address,price_16hr_day1,price_16hr_day2,price_16hr_full,price_8hr_renewal,price_8hr_initial,price_add_a_gun,vendor_description,crawl_status,enrichment_confidence,confidence_notes,logo_path,instructor_image_paths,training_image_paths,enriched_at
orange,Apex Defensive Strategies,,,714-497-0714,https://apexdefensivestrategies.com,direct_booking,Anaheim,CA,,,,,,,,"Apex Defensive Strategies is an OCSD-approved CCW training provider offering comprehensive two-day initial CCW certification courses and 8-hour renewal courses. They provide a wide range of firearms training including handgun marksmanship, tactical rifle courses, and advanced CCW courses with real-world scenario drills. The company emphasizes practical application with 3-4 hours of dedicated live fire training in their CCW courses and offers flexible scheduling with regular monthly classes.",success,low,"Clear course descriptions and direct booking capability via 'Register Here' links, but no pricing information found anywhere on the website content provided",,,,2026-04-13T20:06:39+00:00
orange,Artifex Firearms Training,,,949-861-0693,https://www.artifexfirearmstraining.com,direct_booking,Anaheim,CA,,,,,,,,"Artifex Firearms Training was founded by a British Special Forces veteran in 2012 to provide quality firearms training to civilian, law enforcement and military units. They are an OCSD approved CCW training provider offering both 16-hour initial and 8-hour renewal classes through a hybrid e-learning/online/live-fire format. Artifex has delivered tactical and counter-terrorism training to major California SWAT teams including FBI HRT.",success,medium,"Clear booking capability and vendor description found, but no pricing information visible despite detailed class schedules. Address shows Anaheim but classes appear to be held in Chino, CA.",,,orange/artifexfirearmstraining-com/training_1.jpg|orange/artifexfirearmstraining-com/training_2.jpg|orange/artifexfirearmstraining-com/training_3.jpg,2026-04-13T20:06:39+00:00
orange,Down Range Firearms Safety Training Academy,,,714-322-8702,,,Anaheim,CA,,,,,,,,,no_website,,,,,,2026-04-13T20:06:39+00:00
orange,Fortitude Int'l Firearm Training,,,714-312-9613,https://www.fortitudeintl.net,inquiry_only,Anaheim Hills,CA,"PO Box 28195, Anaheim Hills, CA 92809",,,,,,,"Fortitude International LLC is a firearms training company focused on developing defense mindset, improving firearm skills, and achieving growth. They offer training in handgun, rifle, and shotgun disciplines with an emphasis on building confidence, composure, and competence. The company operates at multiple shooting ranges including Prado Olympic Shooting Range in Chino and Riverside Magnum Range in Riverside.",success,low,"Website only shows general training philosophy and contact information with no specific course details, pricing, or CCW permit information. Only has a contact form for inquiries.",,,,2026-04-13T20:06:39+00:00
orange,"Paragraph 2, LLC",,,714-200-1202,https://paragraph2.net,direct_booking,Anaheim Hills,CA,"5101 E La Palma Ave. #202-1, Anaheim Hills, CA 92807",,,275,175,,,"Paragraph 2 Firearm Training is an approved CCW instructor for Los Angeles, Orange, Riverside, and San Diego County Sheriff's Departments. Led by Jim Belanger, they offer comprehensive firearm training from beginner to expert levels, including CCW initial and renewal courses, NRA certified instruction, USCCA courses, and specialized programs like women's handgun training and home defense fundamentals. They serve multiple Southern California counties and provide both in-person and online training options.",success,high,"Clear pricing found for 16hr initial ($275) and 8hr renewal ($175), multiple 'Book Now' buttons indicate direct booking, comprehensive vendor description available from website copy",orange/paragraph2-net/logo.png,orange/paragraph2-net/instructor_2.png,orange/paragraph2-net/training_1.png,2026-04-13T20:06:39+00:00
orange,"Safe Path Firearms Training, LLC",,,714-381-4195,https://www.safepathfirearmstrainingllc.com,,Anaheim Hills,CA,,,,,,,,,failed,,,,,,2026-04-13T20:06:39+00:00
orange,Semper Safe,,,714-328-1473,https://www.sempersafe.us,inquiry_only,Anaheim Hills,CA,,,,349,249,,,"Semper Safe is a Marine Corps veteran-owned firearms training company that provides approved CCW training for Orange County Sheriff's Department, Riverside County Sheriff's Department, and Whittier Police Department. They offer flexible classroom options including in-person and Zoom online training, with both indoor and outdoor range options for live fire qualifications. The company emphasizes professional, high-quality training in a safe, secure, and non-intimidating environment with unlimited firearms qualification at no additional charge.",success,high,"Clear pricing found for both 16hr initial ($349) and 8hr renewal ($249) courses, plus VIP pricing options. Multiple course dates listed but booking requires contacting vendor. No specific address found despite location being listed as Anaheim Hills.",,orange/sempersafe-us/instructor_1.jpg|orange/sempersafe-us/instructor_2.jpg|orange/sempersafe-us/instructor_3.jpg,,2026-04-13T20:06:39+00:00
orange,"5150 Heat, LLC.",,,714-680-5500,https://www.5150heat.com,inquiry_only,Brea,CA,"2715 Saturn Street, Brea, California 92821",,,325,175,,0,"5150 HEAT, LLC is a Firearms Training Academy focusing on new shooters, good people who want to defend their home, and experienced civilians interested in obtaining or renewing their Concealed Carry (CCW) License. They also train police and military personnel. Their standards are high because they've been teaching police academy recruits and in-service police officers since 1980, having instructed thousands of men and women at the professional law enforcement level. They offer both traditional in-person classes and online CCW courses, with weeknight and weekend options available.",success,high,Clear pricing and course structure found. Unique add-a-gun policy offers no cost for returning students. Contact info provided but no direct online booking system visible.,,orange/5150heat-com/instructor_1.jpg|orange/5150heat-com/instructor_2.jpg|orange/5150heat-com/instructor_3.jpg,,2026-04-13T20:06:39+00:00
orange,VIP CCW Services,,,310-500-9200,https://www.vipccwservices.com,unclear,Brea,CA,,,,,,,,"VIP CCW Services is a California CCW permit training provider operating since 2015, offering classes seven days a week with modular formatting for convenience. They provide both hybrid online/in-person training and private CCW classes, taught by CA POST certified law enforcement instructors and DOJ CCW instructors. The company is an authorized training provider for numerous police departments across Los Angeles, Orange, Kern, and San Diego counties.",success,low,"No pricing information found on the website content provided. While booking capability appears possible (mentions classes and scheduling), no clear booking interface or process described. Address not provided despite location being listed as Brea, CA.",orange/vipccwservices-com/logo.jpg,,,2026-04-13T20:06:39+00:00
orange,Be Fast,,,949-485-1938,https://www.befastraining.com,inquiry_only,Capistrano Beach,CA,,,,425,225,,,"BE FAST is led by Lt. Mark Ojeda (Ret), an honorably retired police officer and Department of Justice CCW Instructor who serves as an Official Authorized Training Provider for the Orange County Sheriff's CCW Permit Program. The company offers OCSD-approved professional instruction focused on safe, responsible, and lawful concealed carry, providing students with the legal knowledge, mindset, and practical skills necessary for personal defense. Training is available Monday through Friday by appointment only, with range fees included in all courses.",success,high,"Clear pricing and course offerings found, strong vendor description available, booking requires contact form inquiry only",,orange/befastraining-com/instructor_1.jpg,,2026-04-13T20:06:39+00:00
