county,vendor_name,instructor_names,website_url,phone,email,city,state,source_url,source_type
santa-clara,Firearms Training Institute,,https://ftipro.net,(408) 506-1884,,San Jose,CA,https://files.santaclaracounty.gov/exjcpb1376/2025-09/vendor-list-pdf-9.18.25.pdf?VersionId=N8KdWrEpm6JMZ3VRqXL9._xwMhhJLBBA,pdf
santa-clara,First Priority Security Consulting LLC,,https://www.1psc-llc.com,(510) 736-4333,,Tracy,CA,https://files.santaclaracounty.gov/exjcpb1376/2025-09/vendor-list-pdf-9.18.25.pdf?VersionId=N8KdWrEpm6JMZ3VRqXL9._xwMhhJLBBA,pdf
santa-clara,Friedman Handgun Training,,https://www.friedmanfirearmstraining.com,(925) 818-6642,,Pleasant Hill,CA,https://files.santaclaracounty.gov/exjcpb1376/2025-09/vendor-list-pdf-9.18.25.pdf?VersionId=N8KdWrEpm6JMZ3VRqXL9._xwMhhJLBBA,pdf
santa-clara,NorCal Med Tac,,https://www.norcalmedtac.com,(831) 970-0440,,Aptos,CA,https://files.santaclaracounty.gov/exjcpb1376/2025-09/vendor-list-pdf-9.18.25.pdf?VersionId=N8KdWrEpm6JMZ3VRqXL9._xwMhhJLBBA,pdf
santa-clara,Safe Firearms Education,,https://www.safefirearmseducation.com,(408) 348-7966,,San Jose,CA,https://files.santaclaracounty.gov/exjcpb1376/2025-09/vendor-list-pdf-9.18.25.pdf?VersionId=N8KdWrEpm6JMZ3VRqXL9._xwMhhJLBBA,pdf
santa-clara,Defensive Accuracy,,https://www.daccw.com,(408) 687-3791,,Concord,CA,https://files.santaclaracounty.gov/exjcpb1376/2025-09/vendor-list-pdf-9.18.25.pdf?VersionId=N8KdWrEpm6JMZ3VRqXL9._xwMhhJLBBA,pdf
santa-clara,Saber Tactics,,https://sabertactics.com,(650) 276-0009,,Los Gatos,CA,https://files.santaclaracounty.gov/exjcpb1376/2025-09/vendor-list-pdf-9.18.25.pdf?VersionId=N8KdWrEpm6JMZ3VRqXL9._xwMhhJLBBA,pdf
santa-clara,ASP Security Training,,https://www.aspfirearm.com,800-279-1780,,San Jose,CA,https://files.santaclaracounty.gov/exjcpb1376/2025-09/vendor-list-pdf-9.18.25.pdf?VersionId=N8KdWrEpm6JMZ3VRqXL9._xwMhhJLBBA,pdf
santa-clara,Valley Defensive Solutions,,https://www.valleydefensivesolutions.com,(209) 747-5149,,Linden,CA,https://files.santaclaracounty.gov/exjcpb1376/2025-09/vendor-list-pdf-9.18.25.pdf?VersionId=N8KdWrEpm6JMZ3VRqXL9._xwMhhJLBBA,pdf
santa-clara,Spartan Defense,,https://www.trainwithspartan.com,(209) 202-8283,,San Jose,CA,https://files.santaclaracounty.gov/exjcpb1376/2025-09/vendor-list-pdf-9.18.25.pdf?VersionId=N8KdWrEpm6JMZ3VRqXL9._xwMhhJLBBA,pdf
santa-clara,Northern Firearms Instruction,,https://countyccw.com,(530) 999-1822,,Linden,CA,https://files.santaclaracounty.gov/exjcpb1376/2025-09/vendor-list-pdf-9.18.25.pdf?VersionId=N8KdWrEpm6JMZ3VRqXL9._xwMhhJLBBA,pdf
santa-clara,Bay Area Tactical Group,,https://battactical.com,(415) 568-6803,,San Leandro,CA,https://files.santaclaracounty.gov/exjcpb1376/2025-09/vendor-list-pdf-9.18.25.pdf?VersionId=N8KdWrEpm6JMZ3VRqXL9._xwMhhJLBBA,pdf
santa-clara,Coco Firearms Training,,https://cocofirearmtraining.com,(925) 384-1920,,Concord,CA,https://files.santaclaracounty.gov/exjcpb1376/2025-09/vendor-list-pdf-9.18.25.pdf?VersionId=N8KdWrEpm6JMZ3VRqXL9._xwMhhJLBBA,pdf
santa-clara,Loyal Arms,,https://loyalarms.com,(916) 680-9888,,Sacramento,CA,https://files.santaclaracounty.gov/exjcpb1376/2025-09/vendor-list-pdf-9.18.25.pdf?VersionId=N8KdWrEpm6JMZ3VRqXL9._xwMhhJLBBA,pdf
santa-clara,Silicon Valley Tactical,,https://www.siliconvalleytactical.com,(408) 313-1254,,San Jose,CA,https://files.santaclaracounty.gov/exjcpb1376/2025-09/vendor-list-pdf-9.18.25.pdf?VersionId=N8KdWrEpm6JMZ3VRqXL9._xwMhhJLBBA,pdf
santa-clara,"Bill Tidwell, Firearms Instructor",Bill Tidwell,https://www.train2besafe.com,(510) 552-4742,,Santa Clara,CA,https://files.santaclaracounty.gov/exjcpb1376/2025-09/vendor-list-pdf-9.18.25.pdf?VersionId=N8KdWrEpm6JMZ3VRqXL9._xwMhhJLBBA,pdf
