county,vendor_name,instructor_names,website_url,phone,email,city,state,source_url,source_type
stanislaus,Trident Firearms Academy,,https://tridentfirearms.com,209-535-0077,,Salida,CA,https://www.scsdonline.com/home/showpublisheddocument/3247/639078284998330000,pdf
stanislaus,Defend To Survive,,https://www.defendtosurvive.com,209-542-8542,,Hughson,CA,https://www.scsdonline.com/home/showpublisheddocument/3247/639078284998330000,pdf
stanislaus,"Valley Defense Consulting, Inc.",,https://www.valleydefense.com,209-552-5728,,Modesto,CA,https://www.scsdonline.com/home/showpublisheddocument/3247/639078284998330000,pdf
stanislaus,Northern Firearms Instruction,,https://www.usgunpro.com,717-919-1587,,Valley Springs,CA,https://www.scsdonline.com/home/showpublisheddocument/3247/639078284998330000,pdf
stanislaus,Fred's Firearms,,https://www.fredsfirearmstraining.com,209-840-2126,,Oakdale,CA,https://www.scsdonline.com/home/showpublisheddocument/3247/639078284998330000,pdf
stanislaus,"Hammer Stryke Self-Reliance Training, Inc",,https://www.hammerstryke.com,209-614-1718,,Mariposa,CA,https://www.scsdonline.com/home/showpublisheddocument/3247/639078284998330000,pdf
stanislaus,Hard Focus Firearms Training,,https://www.hardfocustraining.com,209-564-0332,,Merced,CA,https://www.scsdonline.com/home/showpublisheddocument/3247/639078284998330000,pdf
stanislaus,Rosengarten Firearms Trainings,,https://www.rosengartenfirearm.com,209-610-1425,,Ripon,CA,https://www.scsdonline.com/home/showpublisheddocument/3247/639078284998330000,pdf
stanislaus,Rescue74CPR,,https://www.rescue74cpr.com,209-587-0809,,Gustine,CA,https://www.scsdonline.com/home/showpublisheddocument/3247/639078284998330000,pdf
stanislaus,Upward Firearms Training,,,209-667-9985,,Delhi,CA,https://www.scsdonline.com/home/showpublisheddocument/3247/639078284998330000,pdf
stanislaus,Kiwi's Custom Guns Inc.,,https://www.kiwiscustomguns.com,209-863-2355,,Riverbank,CA,https://www.scsdonline.com/home/showpublisheddocument/3247/639078284998330000,pdf
stanislaus,Stage Stop Sporting Goods,,https://www.stagestopgunshop.com,209-358-4867,,Atwater,CA,https://www.scsdonline.com/home/showpublisheddocument/3247/639078284998330000,pdf
stanislaus,"Defensive Accuracy, LLC",,https://www.daccw.com,408-687-3791,,Stockton,CA,https://www.scsdonline.com/home/showpublisheddocument/3247/639078284998330000,pdf
stanislaus,Called 2 Arms,,https://www.stanislausccw.com,209-522-4867,,Modesto,CA,https://www.scsdonline.com/home/showpublisheddocument/3247/639078284998330000,pdf
