county,vendor_name,instructor_names,website_url,phone,email,city,state,source_url,source_type
nevada,The Range,,,(530) 273-4440,,,,https://www.nevadacountyca.gov/DocumentCenter/View/52728/CCW-Approved-Training-Vendors-List,pdf
nevada,Weber Firearms,,,(530) 274-7664,,,,https://www.nevadacountyca.gov/DocumentCenter/View/52728/CCW-Approved-Training-Vendors-List,pdf
nevada,The Gun Range,,,(916) 972-1484,,,,https://www.nevadacountyca.gov/DocumentCenter/View/52728/CCW-Approved-Training-Vendors-List,pdf
nevada,Global Protection & Investigations,,,1(888) 937-7683,,,,https://www.nevadacountyca.gov/DocumentCenter/View/52728/CCW-Approved-Training-Vendors-List,pdf
nevada,Defensive Triad,,,(916) 765-5661,,,,https://www.nevadacountyca.gov/DocumentCenter/View/52728/CCW-Approved-Training-Vendors-List,pdf
nevada,Crossed Star Firearms,,,(530) 790-5187,,,,https://www.nevadacountyca.gov/DocumentCenter/View/52728/CCW-Approved-Training-Vendors-List,pdf
nevada,Vandagriff Consulting,,,(530) 320-8858,,,,https://www.nevadacountyca.gov/DocumentCenter/View/52728/CCW-Approved-Training-Vendors-List,pdf
nevada,Defensive Accuracy LLC,,,(408) 687-3791,,,,https://www.nevadacountyca.gov/DocumentCenter/View/52728/CCW-Approved-Training-Vendors-List,pdf
nevada,Bad Moon Shooting,,,(530) 988-8772,,,,https://www.nevadacountyca.gov/DocumentCenter/View/52728/CCW-Approved-Training-Vendors-List,pdf
nevada,Lagomasino's Firearms Institute Inc.,,,(209) 401-0907,,,,https://www.nevadacountyca.gov/DocumentCenter/View/52728/CCW-Approved-Training-Vendors-List,pdf
nevada,Protection Plus Tactics,,,(916) 577-2522,,,,https://www.nevadacountyca.gov/DocumentCenter/View/52728/CCW-Approved-Training-Vendors-List,pdf
nevada,Defense Shot,,,(530) 206-6377,,,,https://www.nevadacountyca.gov/DocumentCenter/View/52728/CCW-Approved-Training-Vendors-List,pdf
nevada,One on One Firearms,,,(916) 494-9663,,,,https://www.nevadacountyca.gov/DocumentCenter/View/52728/CCW-Approved-Training-Vendors-List,pdf
nevada,CCW Shooters,,,(916) 207-7350,,,,https://www.nevadacountyca.gov/DocumentCenter/View/52728/CCW-Approved-Training-Vendors-List,pdf
nevada,Bellicose Family Safety Solutions,,,(530) 570-2746,,,,https://www.nevadacountyca.gov/DocumentCenter/View/52728/CCW-Approved-Training-Vendors-List,pdf
nevada,Sierra CCW Firearms Training,,,(530) 563-6397,,,,https://www.nevadacountyca.gov/DocumentCenter/View/52728/CCW-Approved-Training-Vendors-List,pdf
nevada,A Best CCW Training,,,(916) 295-8489,,,,https://www.nevadacountyca.gov/DocumentCenter/View/52728/CCW-Approved-Training-Vendors-List,pdf
nevada,Defensive and Firearms Safety Training,,,(916) 303-3746,,,,https://www.nevadacountyca.gov/DocumentCenter/View/52728/CCW-Approved-Training-Vendors-List,pdf
nevada,Northern Firearms Instruction (NFI),,,(530) 999-1822,,,,https://www.nevadacountyca.gov/DocumentCenter/View/52728/CCW-Approved-Training-Vendors-List,pdf
nevada,Essential Self Defense,,,(916) 997-1293,,,,https://www.nevadacountyca.gov/DocumentCenter/View/52728/CCW-Approved-Training-Vendors-List,pdf
nevada,Ramsey Personal Protection Consulting,,,(916) 844-6374,,,,https://www.nevadacountyca.gov/DocumentCenter/View/52728/CCW-Approved-Training-Vendors-List,pdf
nevada,NSP Firearms Instruction,,,(916) 500-4478,,,,https://www.nevadacountyca.gov/DocumentCenter/View/52728/CCW-Approved-Training-Vendors-List,pdf
nevada,Alpha Shield CCW,,,(916) 812-8762,,,,https://www.nevadacountyca.gov/DocumentCenter/View/52728/CCW-Approved-Training-Vendors-List,pdf
nevada,Angel's Firearms Instruction (AFI),,,(530) 900-1807,,,,https://www.nevadacountyca.gov/DocumentCenter/View/52728/CCW-Approved-Training-Vendors-List,pdf
